title,series,remakes,year,mpaa,runtime,language,director,firstCredit,secondCredit,imdbRating,rtRating,metaRating,action,adventure,animation,biography,comedy,crime,documentary,drama,fantasy,history,horror,music,musical,mystery,romance,scifi,sport,thriller,western
Time is Illmatic,NA,NA,2014,NA,74,English,One9,Nas,Cornel West,0.71,0.98,0.72,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Shattered Glass,NA,NA,2003,PG-13,99,English,Billy Ray,Hayden Christensen,Chloe Sevigny,0.71,0.92,0.73,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rango,NA,NA,2011,PG,111,English,Gore Verbinski,Johnny Depp,Isla Fisher,0.72,0.88,0.75,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mud,NA,NA,2012,PG-13,135,English,Jeff Nichols,Matthew McConaughey,Tye Sheridan,0.74,0.97,0.76,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Three Identical Strangers,NA,NA,2018,PG-13,97,English,Tim Wardle,Robert Shafran,Michael Domnitz,0.77,0.97,0.81,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Sisters Brothers,NA,NA,2018,R,122,English,Jacques Audiard,John C. Reilly,Joaquin Phoenix,0.7,0.87,0.78,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Spaceballs,NA,NA,1987,PG,96,English,Mel Brooks,Mel Brooks,John Candy,0.71,0.58,0.46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ad Astra,NA,NA,2019,PG-13,124,English,James Gray,Brad Pitt,Tommy Lee Jones,0.66,0.83,0.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
The Trial of the Chicago 7,NA,NA,2020,R,130,English,Aaron Sorkin,Eddie Redmayne,Alex Sharp,0.79,0.9,0.76,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Official Secrets,NA,NA,2019,R,112,English,Gavin Hood,Keira Knightley,Matt Smith,0.73,0.82,0.63,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
500 Days of Summer,NA,NA,2009,PG-13,95,English,Marc Webb,Joseph Gordon-Levitt,Zooey Deschanel,0.77,0.85,0.76,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Foxcatcher,NA,NA,2014,R,134,English,Bennett Miller,Steve Carell,Channing Tatum,0.7,0.87,0.81,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Fittest on Earth: A Decade of Fitness,NA,NA,2017,NA,116,English,Heber Cannon,Mat Fraser,Katrin Davidsdottir,0.72,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Ferris Bueller's Day Off,NA,NA,1986,PG-13,103,English,John Hughes,Matthew Broderick,Alan Ruck,0.78,0.81,0.61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie the Eagle,NA,NA,2015,PG-13,106,English,Dexter Fletcher,Taron Egerton,Hugh Jackman,0.74,0.82,0.54,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Limitless,NA,NA,2011,PG-13,105,English,Neil Burger,Bradley Cooper,Abbie Cornish,0.74,0.69,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
The King's Speech,NA,NA,2010,R,118,English,Tom Hooper,Colin Firth,Geoffrey Rush,0.8,0.94,0.88,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Mystic River,NA,NA,2003,R,138,English,Clint Eastwood,Sean Penn,Tim Robbins,0.79,0.88,0.84,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Arctic,NA,NA,2018,PG-13,108,English,Joe Penna,Mads Mikkelsen,Maria Thelma Smaradottir,0.68,0.9,0.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Star Wars Episode VI - Return of the Jedi,Star Wars,NA,1983,PG,131,English,Richard Marquand,Mark Hamill,Harrison Ford,0.83,0.82,0.58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Coach Carter,NA,NA,2005,PG-13,136,English,Thomas Carter,Samuel L. Jackson,Rob Brown,0.73,0.64,0.57,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mulan,Mulan,Mulan,1998,G,88,English,Tony Bancroft,Ming-Na Wen,Eddie Murphy,0.76,0.86,0.71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mulan II,Mulan,NA,2004,G,79,English,Darrell Rooney,Ming-Na Wen,BD Wong,0.57,0,0.66,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molly's Game,NA,NA,2017,R,140,English,Aaron Sorkin,Jessica Chastain,Idris Elba,0.74,0.81,0.71,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Nebraska,NA,NA,2013,R,115,English,Alexander Payne,Bruce Dern,Will Forte,0.77,0.91,0.87,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
